Group,Optimizer,Loop,JoinOrder,Reward,Duration
5c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1397.63
29b.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1105.71
8a.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,615.654
12a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,618.03
14c.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1574.19
19a.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1452.23
16c.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4298.44
4b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,121.187
33a.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,468.631
3a.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,1070.49
1b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,391.271
18a.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,5289.65
15b.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,541.708
23c.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,633.043
26b.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,744.18
19c.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1529.55
17f.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1946.27
27c.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,955.419
6c.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,259.957
28a.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,1361.3
32a.sql,Dynamic Programming,NULL,5--4--3----2---1---0--,NULL,363.115
11d.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,244.673
19d.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,4280.41
4c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,523.321
26a.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,862.979
10c.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,1327.84
