Group,Optimizer,JoinOrder,ExecutionTime,Loop,Table,Edge
12a.sql,Reinforcement Learning,3-6-4-1-5-0-7-2-,550.437,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-0-5-2-7-,546.96,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-2-0-7-,543.5,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-2-7-0-,552.317,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-0-2-7-,548.404,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.7,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,231.252,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,227.78,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.501,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,231.454,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,229.49,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.09,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.906,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,230.904,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,232.523,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-1-0-,266.133,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,269.162,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,267.165,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-1-0-,267.401,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,265.35,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,265.42,0,8,10
12b.sql,Reinforcement Learning,2-5-7-4-0-1-6-3-,268.053,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,265.869,0,8,10
12b.sql,Reinforcement Learning,2-5-7-6-3-4-0-1-,264.968,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,879.986,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,882.834,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,895.661,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,874.143,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,878.181,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,874.921,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,870.464,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,885.584,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,879.347,0,8,10
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,890.366,0,8,10
12c.sql,Reinforcement Learning,3-6-5-7-2-4-1-0-,808.954,0,8,10
12c.sql,Reinforcement Learning,6-5-2-3-7-4-1-0-,801.502,0,8,10
12c.sql,Reinforcement Learning,6-3-5-7-4-0-2-1-,803.307,0,8,10
12c.sql,Reinforcement Learning,6-3-5-2-7-4-0-1-,807.109,0,8,10
12c.sql,Reinforcement Learning,3-6-5-7-2-4-0-1-,820.331,0,8,10
12c.sql,Reinforcement Learning,6-5-3-7-2-4-0-1-,803.789,0,8,10
12c.sql,Reinforcement Learning,3-6-5-7-2-4-1-0-,800.082,0,8,10
12c.sql,Reinforcement Learning,6-5-3-7-4-0-1-2-,801.602,0,8,10
12c.sql,Reinforcement Learning,3-6-5-2-7-4-1-0-,801.331,0,8,10
12c.sql,Reinforcement Learning,3-6-5-7-2-4-0-1-,804.547,0,8,10
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1827.08,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1827.75,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1837.41,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1842.73,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1830.26,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1821.79,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1815.64,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1823.74,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1835.54,0,9,11
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1853.62,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,789.298,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,781.999,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,784.875,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-8-2-4-,789.175,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,780.8,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,783.171,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,778.524,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-8-4-7-2-,782.449,0,9,11
13a.sql,Reinforcement Learning,0-5-1-6-3-7-2-8-4-,780.453,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1156.92,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1169.36,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1167.27,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1168.67,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1161.66,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1164.13,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1159.84,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1159.95,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1169.88,0,9,11
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1176.1,0,9,11
