Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
22c.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,6.373,60232.6,60239
28c.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,6.001,58684.1,58690.2
7a.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.404,994.899,1000.32
11a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.056,253.774,257.847
6a.sql,DuckDB,NULL,4--2---1---3--0---,0.811,460.257,461.086
6d.sql,DuckDB,NULL,4--2---1---3--0---,0.831,571.301,572.149
5c.sql,DuckDB,NULL,4--3---2---1---0--,0.812,58065.6,58066.4
18c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.089,59490.2,59494.3
18b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.236,58144.1,58148.4
1b.sql,DuckDB,NULL,4--3---2---1---0--,0.628,554.359,555.004
8c.sql,DuckDB,NULL,6--5--3--2---4--1------0--,3.683,5946.15,5949.85
29b.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.507,51513.4,51518.9
6b.sql,DuckDB,NULL,4--2---1---3--0---,0.815,405.631,406.463
30c.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.537,59399.1,59403.7
31c.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.772,59441.2,59446
13d.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.014,785.209,789.241
17d.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.084,1718.9,1723
25b.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.074,57797.9,57802
3a.sql,DuckDB,NULL,3--2---1---0--,0.581,57346,57346.5
16b.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.326,10288.7,10293
27b.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.648,56636.1,56641.7
17e.sql,DuckDB,NULL,6--4---3---2---1---5--0---,3.994,4485.2,4489.21
28a.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,6.467,57892.1,57898.6
31b.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,5.166,58412.3,58417.5
32a.sql,DuckDB,NULL,5--4--3----2---1---0--,1.217,489.867,491.101
15a.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.369,50687,50691.4
20c.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.174,1956.8,1961.99
6f.sql,DuckDB,NULL,4--2---1---3--0---,0.736,3450.6,3451.36
18a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.451,62842,62846.5
10c.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.235,2499.12,2503.37
5b.sql,DuckDB,NULL,4--3---2---1---0--,1.041,56546.7,56547.8
31a.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.903,58497,58501.9
14a.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.863,57824.5,57828.4
32b.sql,DuckDB,NULL,5--4--3----2---1---0--,1.229,504.54,505.786
13c.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.256,342.756,347.029
24b.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.728,58105.2,58110
21c.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.622,57174,57178.6
8a.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.055,1254.08,1258.16
20a.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.157,1249.65,1254.83
2c.sql,DuckDB,NULL,4--3---2---1---0--,0.573,1586.16,1586.75
13b.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.134,432.575,436.725
10a.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.125,1675.85,1679.99
11c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.98,277.387,281.386
27a.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.333,56615.5,56620.9
10b.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.015,1605.01,1609.04
4b.sql,DuckDB,NULL,4--3---2---1---0--,0.81,194.651,195.479
22b.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.708,57315.9,57320.6
1d.sql,DuckDB,NULL,4--3---2---1---0--,0.666,651.388,652.071
4c.sql,DuckDB,NULL,4--3---2---1---0--,0.759,749.21,749.986
16a.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.388,5051.98,5056.39
9a.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.645,1750.01,1754.68
