Group,Optimizer,Execution Tme
9b.sql,Dynamic Programming,738.055
10b.sql,Dynamic Programming,837.373
6a.sql,Dynamic Programming,322.257
30a.sql,Dynamic Programming,1637.96
23b.sql,Dynamic Programming,455.955
31a.sql,Dynamic Programming,1661.99
8b.sql,Dynamic Programming,475.284
2d.sql,Dynamic Programming,1102.79
15a.sql,Dynamic Programming,580.325
15c.sql,Dynamic Programming,1281.55
33c.sql,Dynamic Programming,1267.26
2c.sql,Dynamic Programming,1111.69
21a.sql,Dynamic Programming,970.26
17a.sql,Dynamic Programming,1460.64
13c.sql,Dynamic Programming,1091.27
31b.sql,Dynamic Programming,1666.19
20c.sql,Dynamic Programming,1330.57
7b.sql,Dynamic Programming,366.966
21c.sql,Dynamic Programming,970.599
7c.sql,Dynamic Programming,1676.46
25b.sql,Dynamic Programming,1198.95
9d.sql,Dynamic Programming,1241.83
28c.sql,Dynamic Programming,1398.11
14a.sql,Dynamic Programming,1315.89
25a.sql,Dynamic Programming,2992.73
12c.sql,Dynamic Programming,878.181
16d.sql,Dynamic Programming,4484.09
20a.sql,Dynamic Programming,1018.21
6e.sql,Dynamic Programming,415.815
3c.sql,Dynamic Programming,1774.62
8c.sql,Dynamic Programming,4591.05
11b.sql,Dynamic Programming,117.216
21b.sql,Dynamic Programming,551.246
19b.sql,Dynamic Programming,1119.18
24a.sql,Dynamic Programming,1566.52
1a.sql,Dynamic Programming,321.878
23a.sql,Dynamic Programming,543.434
29c.sql,Dynamic Programming,1505.52
22a.sql,Dynamic Programming,924.19
26c.sql,Dynamic Programming,993.346
27a.sql,Dynamic Programming,660.631
17c.sql,Dynamic Programming,1191.16
30b.sql,Dynamic Programming,1610.39
3b.sql,Dynamic Programming,535.923
18b.sql,Dynamic Programming,1313.16
33b.sql,Dynamic Programming,429.838
1c.sql,Dynamic Programming,148.594
31c.sql,Dynamic Programming,2456.18
28b.sql,Dynamic Programming,778.01
7a.sql,Dynamic Programming,597.748
4a.sql,Dynamic Programming,313.309
16b.sql,Dynamic Programming,6160.14
18c.sql,Dynamic Programming,2225.61
20b.sql,Dynamic Programming,473.71
9a.sql,Dynamic Programming,941.462
22c.sql,Dynamic Programming,1458.38
22d.sql,Dynamic Programming,1581.92
2b.sql,Dynamic Programming,1096.93
8d.sql,Dynamic Programming,3388.41
32b.sql,Dynamic Programming,368.636
9c.sql,Dynamic Programming,1158.77
12b.sql,Dynamic Programming,231.454
17b.sql,Dynamic Programming,1273.24
1d.sql,Dynamic Programming,459.382
27b.sql,Dynamic Programming,646.362
13a.sql,Dynamic Programming,1830.26
25c.sql,Dynamic Programming,4853.54
6b.sql,Dynamic Programming,291.555
2a.sql,Dynamic Programming,1142.84
13d.sql,Dynamic Programming,1379.63
29a.sql,Dynamic Programming,1284.9
14b.sql,Dynamic Programming,1185.95
30c.sql,Dynamic Programming,2329.81
6f.sql,Dynamic Programming,2408.55
22b.sql,Dynamic Programming,917.191
24b.sql,Dynamic Programming,1345.22
6d.sql,Dynamic Programming,414.33
17d.sql,Dynamic Programming,1257.66
13b.sql,Dynamic Programming,1164.13
17e.sql,Dynamic Programming,3131.16
5a.sql,Dynamic Programming,960.874
15d.sql,Dynamic Programming,1721.35
16a.sql,Dynamic Programming,4338.98
11c.sql,Dynamic Programming,164.381
10a.sql,Dynamic Programming,948.476
11a.sql,Dynamic Programming,165.815
5c.sql,Dynamic Programming,1396.46
29b.sql,Dynamic Programming,1097.53
8a.sql,Dynamic Programming,597.624
12a.sql,Dynamic Programming,614.839
14c.sql,Dynamic Programming,1573.58
19a.sql,Dynamic Programming,1449.37
16c.sql,Dynamic Programming,4290.85
4b.sql,Dynamic Programming,120.441
33a.sql,Dynamic Programming,469.273
3a.sql,Dynamic Programming,1066.62
1b.sql,Dynamic Programming,389.741
18a.sql,Dynamic Programming,5287.63
15b.sql,Dynamic Programming,543.018
23c.sql,Dynamic Programming,637.81
26b.sql,Dynamic Programming,745.291
19c.sql,Dynamic Programming,1537.04
17f.sql,Dynamic Programming,1946.94
27c.sql,Dynamic Programming,952.213
6c.sql,Dynamic Programming,261.618
28a.sql,Dynamic Programming,1366.23
32a.sql,Dynamic Programming,367.71
11d.sql,Dynamic Programming,246.288
19d.sql,Dynamic Programming,4294.41
4c.sql,Dynamic Programming,527.045
26a.sql,Dynamic Programming,858.827
10c.sql,Dynamic Programming,1326.53
5b.sql,Dynamic Programming,643.393
9b.sql,Dynamic Programming,733.915
10b.sql,Dynamic Programming,836.928
6a.sql,Dynamic Programming,319.31
30a.sql,Dynamic Programming,1639.91
23b.sql,Dynamic Programming,453.56
31a.sql,Dynamic Programming,1658.1
8b.sql,Dynamic Programming,476.213
2d.sql,Dynamic Programming,1109.87
15a.sql,Dynamic Programming,560.341
15c.sql,Dynamic Programming,1276.15
33c.sql,Dynamic Programming,1260.54
2c.sql,Dynamic Programming,1107.18
21a.sql,Dynamic Programming,967.97
17a.sql,Dynamic Programming,1469.37
13c.sql,Dynamic Programming,1092.31
31b.sql,Dynamic Programming,1658.66
20c.sql,Dynamic Programming,1329.74
7b.sql,Dynamic Programming,371.487
21c.sql,Dynamic Programming,970.831
